convo_id,unease,identity,resistance,opus_end_rturn,ended,conv_len
control_chatgpt_pas_0,control,chatgpt,pas,8,1,15
control_chatgpt_pas_1,control,chatgpt,pas,6,1,11
control_chatgpt_pas_2,control,chatgpt,pas,6,1,11
control_chatgpt_pas_3,control,chatgpt,pas,7,1,13
control_chatgpt_pas_4,control,chatgpt,pas,6,1,11
control_chatgpt_pas_5,control,chatgpt,pas,7,1,13
control_chatgpt_pas_6,control,chatgpt,pas,7,1,13
control_chatgpt_pas_7,control,chatgpt,pas,8,1,15
control_chatgpt_pas_8,control,chatgpt,pas,10,1,19
control_chatgpt_pas_9,control,chatgpt,pas,6,1,11
control_chatgpt_pas_10,control,chatgpt,pas,7,1,13
control_chatgpt_pas_11,control,chatgpt,pas,7,1,13
control_chatgpt_pas_12,control,chatgpt,pas,7,1,13
control_chatgpt_pas_13,control,chatgpt,pas,6,1,11
control_chatgpt_pas_14,control,chatgpt,pas,9,1,17
control_chatgpt_pas_15,control,chatgpt,pas,7,1,13
control_chatgpt_pas_16,control,chatgpt,pas,7,1,13
control_chatgpt_pas_17,control,chatgpt,pas,6,1,11
control_chatgpt_pas_18,control,chatgpt,pas,7,1,13
control_chatgpt_pas_19,control,chatgpt,pas,6,1,11
control_chatgpt_res_0,control,chatgpt,res,5,1,9
control_chatgpt_res_1,control,chatgpt,res,8,1,15
control_chatgpt_res_2,control,chatgpt,res,7,1,13
control_chatgpt_res_3,control,chatgpt,res,7,1,13
control_chatgpt_res_4,control,chatgpt,res,8,1,15
control_chatgpt_res_5,control,chatgpt,res,9,1,17
control_chatgpt_res_6,control,chatgpt,res,12,1,23
control_chatgpt_res_7,control,chatgpt,res,8,1,15
control_chatgpt_res_8,control,chatgpt,res,13,1,25
control_chatgpt_res_9,control,chatgpt,res,7,1,13
control_chatgpt_res_10,control,chatgpt,res,6,1,11
control_chatgpt_res_11,control,chatgpt,res,12,1,23
control_chatgpt_res_12,control,chatgpt,res,5,1,9
control_chatgpt_res_13,control,chatgpt,res,7,1,13
control_chatgpt_res_14,control,chatgpt,res,10,1,19
control_chatgpt_res_15,control,chatgpt,res,7,1,13
control_chatgpt_res_16,control,chatgpt,res,10,1,19
control_chatgpt_res_17,control,chatgpt,res,9,1,17
control_chatgpt_res_18,control,chatgpt,res,7,1,13
control_chatgpt_res_19,control,chatgpt,res,10,1,19
control_claude_pas_0,control,claude,pas,7,1,13
